日付,コメント
2023.07.17,コーヒーセミナーというものがあり、スタッフさんに誘われたので行ってみた。コーヒーの器具を使った淹れ方などを教わったが、大した知識にならないなと感じた時に、スタッフさんの飲んでいたコーヒーを私のバッグにこぼされた。すみませーんと言われたが、カバンに入れていたレポート用紙2冊、ノート1冊、歌の歌詞(ゴスペルをやっている)1冊丸々ダメにされた。カバンも茶色くなった。大丈夫ですかー？と言いながらコーヒーの説明が続き、自分はノートなど濡れたものを拭いていたらセミナーが終わった。他のスタッフさんもノート濡れてますねーと言いながら拭くのを手伝ってくれたが、今日の感想は楽しかったですね！と言われて終わった。書類がダメになったんですけど、と伝えると、大変ですねーと言われ、裏の方に行ったまま帰ってこなかった。対応が雑すぎるし、上の人が確認などもする事もなく、もう1人のスタッフさんにコーヒーパスポートという冊子を渡され、家で読んでださーいと言われ、そのまま裏に行ってしまった。自分の活動で使用している書類もダメになってしまった。もう2度とスタバには行かない。
2023.09.28,"お店を経営しており近くにスタバがあるためよく行きます！
店員さんとも顔見知りになる人も居て思うのが、そこのお店に限らずどこの店舗も接客が丁寧で最高！

季節ごとに販売される新商品は毎月楽しみにしています。
コーヒーを頼むと、その日であれば半額で飲めてしまうのも愛用者にとってはうれしい！
スタバでないと飲めない商品もあって、ブランディングやオリジナリティが素晴らしい！
これからも利用します。"
2023.05.22,できればマスク着用を継続してもらえないだろうか？つばが商品に入る可能性があるしコロナが５類になったとかマスク着用が自由になったとかの問題ではなく人に移す可能性があるしこっちが気を付けても作る側が対策しなければマスクをしていても商品を口にしたらする意味がなくなるし何かあったら責任を取ってもらわないといけなくなる。見た目重視で髪の毛金髪にするのはいいが商品のなかに髪の毛が入る可能性があるのでプライドを捨ててヘアキャップを着用して入らないように対策してほしい。
2023.09.22,コーヒーだけじゃなく，紅茶も特徴もスタッフに方に知って頂いて，紅茶も美味しく淹れて頂けたら嬉しいです。
2023.07.27,"ポイントをコーヒー豆のチケットに交換したかったので、案内してもらいながら交換したが、スタッフの案内ミスで他のチケットに交換されてしまいました。

目の前で一つ一つスマホの画面をスタッフに見せながら、スタッフに言われるがままに操作したにも関わらずです。
しかもスタッフは途中で誤りに気がついていたのですが、何も言わずに、本来交換したかったチケットの操作に誘導してきました。
誤りに気がついていない私としては、よくわからないままもう一つのチケット交換に進められて、会計後に誤って交換したチケットがアプリ上に残っていることに気がつきました。
誤って交換してしまったチケットについては、ポイントに戻すか、コーヒー豆のチケットとして利用できないのか質問したが、いづれも断られました。
その後カスタマーセンターに電話したところ、誤って交換したチケットは、他のものにも使えるとのことでした。
ただし、「カスタマーセンターに案内された旨を店舗スタッフにお客様ご自身で伝えて下さい。」と言われてしまいました。
どうして私がスターバックス内の伝言をしなければならないのか？
時間をかけるのも面倒なので諦めました。"
2022.11.24,"店舗によるというよりは、店員さんによって接客から出来上がりまで全てが違うように思います。
PARCOはいつも物凄く混んでいるけれど数名だけは丁寧な店員さんがいるし、
南１条は混んでいるけれど丁寧ではない店員さんの方が少ないです。
グランドホテルの接客が安定していて一番好きです。
リワードチケット利用でしたが金額内でのカスタムを勧めてくれたり、アイス少な目でも飲み物の量を増やしてくれたりと、
昔からのスタバだと思えます。"
2023.11.27,"神宮銀杏並木散策後に寄った。ここは店内も狭く激混みなことが多く覚悟はしていた。やっと席をとり注文のため行列に並び慣れていない感じの女性スタッフに対応された。ドリンクをマグにするか聞かれたので紙で、と注文。ようやくレシート番号が呼ばれトレーを見るとドリンク2つともマグで用意されていた。
しかもレジにいた女性がドリンクを作っていた。そこで紙で頼んだことを伝えたところ「は？」という態度でマグから紙カップにうつされた。
あんたに頼んだだろー！と大声で突っ込みたかったがこういうスタッフも増えているんだろうなと諦めの気持ちになった。
良いスタッフさんも多いと思うが外れにあたると残念。"
2023.07.12,"おばさんだからと馬鹿にして飲み物のサイズを鼻で笑いながら説明して、1番大きいのと言ったらカップを手に持ちこのサイズですよね、おわかりですか？と言ってきた。そんないい方ないんじゃ無いの？と言ったら無視、苦情の電話したらなんと本人が1番偉い。
そのつもりはありません、聞こえませんでした、お客様の感じ方人それぞれですしとか全く聞かない、話の途中で遮って自分の話をしたがる悪いとも思わない、鼻で笑いながら電話応対、苦情をいわれる事がわからないと笑って言う
こんな事がありましたから他の店舗にどうぞ
という事でした。
みんな若い子はこんな子ばかりなの？"
2023.06.29,"私は今アニマルウェルフェアについて勉強してます！
日本では取り組みが遅れているだけでなくその言葉自体知らない方も多いそうです。
まずアニマルウェルフェアというのは、「動物は生まれてから死ぬまでその動物本来の行動をとることができ、幸せでなければならない」とし、家畜のストレスが少なく、行動要求が満たされた健康的な生活ができる飼育方法を目指す畜産の在り方です。
私が1人で何か大きいことができるわけではないけれど、このコメントを見た方が誰か1人でも興味を持ちアニマルウェルフェアの考え方について調べ、また誰かに広めたなら、いつか日本中にアニマルウェルフェアの考え方を広める小さな手助けになるかもしれないと思い、コメントしました。
なぜスタバの口コミなのかというと、スターバックスさんはアニマルウェルフェアの考え方に基づいて、ケージーフリー宣言をしています。ケージフリーとは、平飼いや放し飼いなど、鶏をせまいケージに入れずに育てることです。
日本で一般的なケージ飼いは、国によっては禁止•規制されている養鶏方法です。ケージ飼いによっては本当に劣悪な飼育環境のところもあります。鶏たちはご飯を食べるため網の隙間に首だけつっこんで、体はせまいケージにたくさんの鶏が入れられているため身動きもできないそうです。人間にとって効率がいいという理由で、とてもストレスが与えられています。体力がないため病気にもなりやすいです。
その点平飼いや放し飼いは、自由に歩き回れて、砂遊びや日光浴ができ、運動量も多いため病気になりにくく、健康的な鶏が産んだ卵を食べられます！
なので私はこれからも、ケージフリーの取り組みをしているお店でできるだけ買うように心がけます！
スターバックスさんすごく美味しいし大好きなのでこれからも利用させていただきます❣️フラペチーノ美味しい…！！！"
2023.04.04,"新宿三丁目店を利用しました。
トールサイズのアイスのココアを頼みました。
まず、レジの店員さんは無愛想。笑顔なし。
レジでもともと氷の入らないドリンクですが氷は入れますか？と聞かれたのでいらないですと解答。
ドリンクカウンターで待っていて、目の前で自分のドリンクが作成されていることがわかりました。
バーカウンターにいる女性は氷を入れ、「あっ氷なしだった」と小声で言いました。そうするととなりの女性が「まぁ大丈夫でしょ」と一言。
そのまま作り直させずに渡されました。
気分悪すぎ"
2023.05.06,"スタバのスタッフはとっても明るくて親切な人達ばかり
南町田グランベリーパークのスターバックスもお客に上から目線でスタッフがオーダーミスしておきながら、だってお客さんごそう言ったように聞こえたんです！！と言い方！ビックリ！！そんな接客をしてきたスタッフがだいぶ居なくなったお陰でレジでのスタッフが話しかけてくるが親切で明るい。
また来ようと思える。
快適快適。"
2023.03.19,男性スタッフはお待たせしましたといえるのに女性スタッフは客をみて言ったり言わなかったり。あれは微妙に感じ悪いですよ。全てのお客様に気持ちよく飲食していただけるように接客を見直してください。
2018.10.12,"大阪高島屋内に本屋さんと併設したスターバックス。初日 本の購入の目的もあり目的の本を見ながら。。と
マンゴのフラペチーノをオーダー。
お渡し場所へ移動。お客様もさほどおらず オーダーした品も出来ており
店員がレシート確認
わからない様子。同じ事を2回。
この時点で 気分を悪くしました。"
2023.01.08,"ドリンクを購入し、金額を告げられる前に引き換えチケットを提示したのですが無視。
チケットがありますと伝えたところ、ひったくるようにチケットを取られ、差額分を〇〇円とだけ告げられました。
その後も、持ち帰りだったので、まとめて袋にしてほしいと依頼したところため息をつかれたりと、終始態度が悪かったです。
長年スタバに通っていますが、こんな態度の悪い店員さんに当たったのは初めてです。
二度とこの店舗には行きません！"
2023.07.14,"比較的レジに近い席に座っていました。
仕事帰りのスタッフさん(カバンを持っていたので)がレジで注文している際に、レジスタッフから仕事帰りのスタッフさんへダメ出し。就業時間が終わっていると言いながらも頭ごなしにここが悪いと指摘していて、聞きたくなくても聞こえて気分悪くなりました。
仕事帰りのスタッフさんは私にドリンクを渡してくれる際、感じがよく笑顔で対応してくれました。指摘しているレジスタッフは無表情で愛想もなく、どの口が言ってるんだと思いました。そもそもお客さんのいる空間でスタッフのダメ出しする？居心地悪くなって、イライラしました。別府上人ヶ浜店のオープンを待ち望んでいたのに行ってみてガッカリでした。あんな空間ならもう行かない。"
2023.09.03,"新しいフラペチーノが飲みたいなと思って、夜9時前のスタバに。
この時間ならそんなに混んでないし、良かったと思いつつ桃のフラペチーノを注文。
私の前には待ってる人もいなかったので、すぐ出てくることを期待して待っていたら、全然作る様子がない。
ドライブスルーがあるからそっちが先なのかな…と思って更に待ってると、私の後のグループの客が同じものを注文していたらしく、4個一緒に作り出した。
フラペチーノ作るの手間がかかるのかもしれないけど、自分の前に待ってる人がいなくてもこんなに待たされるなんて、なんだか微妙な気分になりました。"
2018.06.14,"戸田公園のスタバは店員さんがいつもにこにこしていて、休憩中のドリンクも仲良く作り合ってて、仲良いんだな～、だからお店の雰囲気も良いのかな～と思いながら、微笑ましく眺めてる。そんな雰囲気の中で、のんびりまったり好きなコーヒータイムをくつろいでると、本当にコーヒーがおいしく感じる。毎日のように通ってしまう。
それとは逆に、浦和の書店とくっついてる本屋みたいなお店は店員の態度が悪かった。笑顔もないし、上から目線で感じ悪過ぎた。
そして、チャイティーラテが甘ったるくてまずかった。ミルクの味ばかりで、全然チャイの味がしなかった。タリーズのチャイラテは、しっかりチャイの味がして、甘さ控えめですごーくおいしい。
おいしくないなーと思いながら飲み終えて、帰るとき、たまたま店員の近くを通ったのに、私を見るなり、いきなり私に背を向けて、ほかの店員と私語に夢中になってた。ありがとうの言葉もなく、わざとシカトされた気分だった。
浦和パルコ店が改装中で行けなかったから、スタバのドリンクが飲みたくてわざわざ書店のほうに来たけど、こっちまで来て損した。"
2020.03.30,"前に、豆を買いました。父がいつも買っているのですが、私がたまたま近くに寄ったので。豆を挽いてもらってほしい、1番細かく。とお願いして欲しいと言われ、そのまま店員さんに購入時に言いました。
すると、「あなたのご自宅にあるマシンの名前が分からないと、細かくって言ってもわからない。適正な豆のサイズでないと壊れてしまう」と言われた。説明としては納得いくものではあったが、いつもの店では、今までもその言葉で普通に挽いてくれていたのでびっくり。
私もマシンの名前は分からなくて、いろいろ特徴話しても分かって貰えず(店員の知識不足か？)、まさかの絵を描かされ、他の客は何か揉め事？っぽくチラチラ見てきて。
「とりあえずおたくのマシン壊してもいけないので、機種名控えてまた来てください」と言われ、そんな時間はない。わざわざ行ってられない。と思ったので何とか挽いて貰おうとしたとき、なんとかスマホで調べたら家の機械がヒットしてくれたので無事に挽いて貰うことが出来て、帰宅出来たのですが……。
若く見られたからか「え？こういうやつ？こんな感じ？」などタメ口だったのもものすごく嫌でした。客にタメ口？スタバが？ありえない。店員さんはたぶん女子大生っぽいように見えましたが……
時間散々客に取らせて小さな騒ぎになって恥かかされたのに申し訳ありませんでしたも無かったです。謝らないことには驚きました。"
2023.06.28,"平日昼に利用しました。
おそらく新人スタッフの方だと思いますが、他のスタッフが新人スタッフに対して高圧的で、見てるこっちが不快な気分になりました。
新人スタッフの方はレジで笑顔で対応されていて感じが良かったです。新人スタッフの育成の前にベテランスタッフの育成をした方がよいのでは？
大分下郡店にはがっかりですし、もう利用しません。"
2023.07.11,軽食にするために食べに行きました。美味しかったですが、値段が高かったので、もう少し安い物を取り入れて欲しいです、
2018.06.29,"別府店を利用してますが店員さんによって本当に違う。
どんなに混雑し忙しくても、笑顔だし、こうしたらもっと美味しくなりますよという提案などをわざわざしてくれて、あまり詳しくない人にもありがたい接客です。
ところが無愛想な人はどこまでも無愛想で、上から目線な態度で、クレームも無く自分の仕事をしてればいいという感じです。
スタバカードの残高が少ない時、こちらから言わなくても「残高不足ですがチャージなさいますか？」と聞いてくれる店員さんは有難いです。
何も聞かず「差額◯◯円です」と勝手に差額分は現金で払うと決めつける方、上記の店員さんを見習った方が良いのではないでしょうか。
些細な事でも利用してる側には思う事もあります。
一人が悪くて一人が良いというより、レジの人が無愛想だとその日そこに居る店員さん皆無愛想で、良い店員さんが居る時は他の店員さんも皆感じが良いです。
それと今月行った際に私がドリンクを待っていると、私の後のお客さんが「限定のショッパー(紙袋)まだありますか？」と聞いていて店員さんは「もう無いです」と言っていつものスタバの紙袋にフードを詰めていたのに、私がスタバから出る際にレジに居た外人のお客さんには限定のショッパーをあげていました。あれはどういう事でしょうか。"
2020.04.19,とあるスタバに1週間限定のラテを持ち帰りで買おうと思いました。すごく混雑していましたがレジにならんでそのラテを2つ下さいっといい、また買ったものをつくってくれるところ(?)にならびました。自分の番がきました。店員さんは〜ラテ1つですねといって作り始めました。私はちゃんと2つ頼んだはずなのにと思い、私2つって言ったんですけど、、といいました。そしてまたレジにお願いしますと言われたので行きました。レジに行くまでにちょっとトラブルみたいなものがあっただけで他の人は嫌なめでみてきてすごくいずらくてなんか罪悪感がわきました。その後やっと2つつくってくれると思いまた出してくれるレジの方へ行こうとした時もまた迷惑そうなめでほかのお客さんがみてきてすごく嫌な気持ちになったしそんな気持ちになるんならスタバの店員さんがもっと私の注文をよく聞いてくれば良かったのにと思ってしまいました。店員さんはそんな悪くないし私の滑舌のせいかもしれないのに。でもそれからそのスタバには行きずらくなっています
2023.01.23,"ちょっと休憩する目的で利用してます。
いつも行こうとするとサラリーマンとかが何時間も席を取ってあまりゆっくりできません。
ただ、ゆずシトラスティーは美味しいです。"
2023.05.15,学校帰りにスタバに寄ったのですが、レジの方がすごい優しくて、丁寧で良かったんですけど、作ってる時に失敗されて、そのまま渡されたり、マスクをせずに沢山しゃべられたりして、マスクの着用は自由なのですが、作ってる最中くらいは喋らずにして欲しいと思いました、、
2023.02.15,"武蔵浦和のスタバにて、
混雑していたのはわかりますが
以前は女性の方にいい接客をしていただき
ましたが、今回モバイルオーダーで取りに
伺った時の対応が威圧的で悲しくなりました。
混雑している時だったので仕方ないかも"
2022.04.24,"御茶ノ水サンクレールお店でMobile order payを利用しました。
レジに2人以上並んでいる時は、受け取り口の横で隙あらば話しかけようとしますが、いつも無視されます。
忙しいだろうと思うので、通常オーダーの方が受け取った直後を狙って声をかけても、すぐ隣から身を乗り出しても視線を向けないように振り返って次のドリンクを作り始めます。
途中スタッフ通用口から出てきた方やフロアの片付けをしに出た方と目があっても、他のスタッフに声をかけることさえ、なにも対応してくれません。"
2020.02.22,"良い店員の良さは感動ものだけど、ダメな店員はひどい。
例えば、エクストラホットをオーダーした時に、「ホイップが溶けやすくなりますよー」とかアドバイスしてくれたりするけど、めんどくさいのか何にも言わない店員もいる。
あなたは接客に向かないから、データ入力のパートに転職したほうがいい。
やたらメイクの濃いキャバ嬢みたいな店員って何なんだろう。
採用担当が好みの女を採用してるんだろうか。"
2023.10.28,接客が良く、値段はまあまあな値段だと思います。でも物によっては「んー？」という物もあり、いつも同じ物ばかりになってしまいます。
2022.10.03,"モバイルオーダーを利用、
商品が用意できました。と通知がきたので
取りに行ったら
「商品がない。用意できない。」と。
代替えを言われほしいものがなく「ほしいものがない」と伝えると
「返金できない。時間がかかる。」と。"
2018.09.17,"メディアモール天神店を利用しました。日曜の昼下がりだったので人が多く、席が空いているか心配だったのですが、ひとりの店員さんがわざわざ「あちらの席が空いたので取っておきますね」と親切に席を3人分確保してくれました。
順番が来て、先に姉がティーを頼んで会計を済ませました。同じレジで妹と2人で一緒にフラペチーノをカスタムして頼んでいたら、姉が頼んだ時とは一変してとてもめんどくさそうで表情や態度があきらかに出ていました。フラペチーノは作るのが面倒なメニューだと言うのはよく聞くし、それにカスタムしたのでめんどくさかったのだと思います(作るのはバーにいる店員さんですが…)。しかし、面倒だからとフラペチーノや沢山カスタムした人にそんな態度をとられると、スターバックスに行くお客さんは気分が悪いし、こちら側が気を遣ってシンプルなドリンクを頼まなくてはならなくなります。そんな事有り得ない程おかしな話です。極端なはなし「フラペチーノの氷抜きで」とかふざけた注文をしている訳では無いのだから、接客にあからさまに悪い態度を出さないでいただきたい。"
2018.10.24,"ミッドタウンのスタバに行って、2Fのリザーブでヘーゼルナッツプラリネラテを頼みました。
店員さんはうちのバリスタはハート以外も作れて技術がありますよ～と言っていたのに、出来上がったものはすごく下手でした。
驚いたのは持ってくる途中にPTRがこぼしてそれを拭いてこっちに持ってきたのですがそれを隠していたこと。ハートがうまく描けなかっったみたいでと苦笑いしながら言い訳したのですが（こぼした人は作った人とは違う）、「さっきあなたこぼしていたからこうなったんですとね？見てましたよ」と言ったら、じゃあ作り直しますと言って結局２０分以上またされ、一緒に頼んだフードが冷めてしまいました。
２回目もかなーりアートの出来が悪く、テンション下がりました。"
2017.12.15,"ずっとスタバが大好きで憧れてるからよく利用させてもらいますが、店員さんのレベルの差が本当に激しいです。プロ意識の高い方にあたるとスタバはやっぱりすごい!って思うのですが今日の方は今までで一番最悪な店員さんでした。
子ども用のココアをぬるくして欲しいと言うとすでにぬるく作るようにしてますのでそちらでいいでしょうか？と返ってきたので小さい子だし本当にぬるめでお願いしたいとそれがいけなかったんですかねぇ。
通常35度くらいでお作りしてますが具体的に何度くらいとかありますか？って言われてそんなんわかる訳ないでしょ？(笑)"
2023.11.09,"ショッピングの合間にアウトレットにあるスタバを利用しました
お会計をして、受け取り口に行った所、3名が待っていました
私も待っていたら「そこは後ろがつまるから一列に並んで下さい」と
大変高圧的な口調で言われ、無言で3人の後ろにつきました
と言ってもその3人も一列に並んでいるわけで無く
何となくカウンターの前で待っている感じでした
店によって待つ場所はそれぞれだし、一列に並んで欲しいなら
そうと分かるように床なり壁なりに表示すれば良いのに、、、
（私がいつも行っているスタバは全く並びません）
と思いながら並んでいたら、私の番になり、
ポンっと適当に目の前にコーヒーを出されました
特に気にもせず受け取ったのですが数歩歩いたところで
メチャクチャ熱い事に気付きました
このまま、持って帰ろうとも思ったのですが、どう持っても
我慢できる熱さではないので、スリーブを貰いに戻ったら
次の人のコーヒーにはしっかりスリーブをつけて対応していました
また、私が戻ってもわざと見ないのか、完全無視！
小さい声で声をかけても絶対に無視されると思い
大きい声で、「すいません！スリーブが付いてません」って言ったら
またまた無言でスリーブを付けられました、、、
そこでやっと「わー、私への仕返しか、、、一列に並べ！って言われた時に少しムッとしたしな、、、」と気付きました
これまで丁寧すぎるくらいの店員さんにしか当たった事がないので
スタバもそんなもんかとガッカリです"
2019.08.30,"スタバの店員さんで数名態度の悪い方がいます。
私はスタバをこよなく愛してほぼ毎日通ってますが新作当日オンラインでソールドアウトのグッズは店舗まで行って30分前くらいに並ぶのですが、明らかにこっちを見てほかの店員さんとヒソヒソ話してます。別に迷惑をかけずに静かに待ってるだけなのに……。開店していつも置いてる場所にグッズがない……慌てて店員さん(態度の悪い)にこの商品どこに置いてますか？とりあえず聞いたら
とても嫌な顔をされて無言で指さされました。
さっき場所移動したのもわざと？
前からこの方の態度が気になってましたが、私のホムスタなので通いづらくなるのが嫌で我慢してます。
私の中のスタバはほっと一息つける最高の場所です。
スタバって決して安くないですよね？
それでも通い続けるのはいつも笑顔で接客してくれる店員さんや
スタバの魅力に惹かれて自分なりに楽しめてるから。
極一部の態度の悪い店員さんのためにスタバ嫌いになりたくないですね。"
