日付,コメント
2023.04.08,"単身、長距離の引越しに利用させていただきました。
引っ越し業者によって地域毎に強い/弱いがあるそうで、他社に比べて非常に安い値段で対応していただきました。
また当日作業してくださった社員さんと思われる方々もとても爽やかで、テキパキと動いてくださり、とても満足しておりました。"
2022.06.05,"４時間ほどかかる、県を跨ぐ引っ越しの際に利用しました。いくつか見積もりをしてもらい、引越しの日程の融通をきかせてくれたのでアートに決めました。
段ボールはたくさんいただけて、ガムテープは、割れ物やすぐ使うものを色分け出来るよう3色無料で付けてくれました。
衣服はハンガーにかけたまま梱包してもらえて、割と満足していたのですが、テレビボードがしっかり固定されておらず金具がなくなってしまい、棚が付けられなくなりました。
引っ越し先の県のアートのスタッフさんが、予備の金具を用意してくれて何とかなりましたが少しがっかりでした。
それと、アルバイトらしきヒョロヒョロの男の子が搬入した際にアパートの壁に傷を付けられてしまいました。正直に言ってくれて、後日料金もいただいたので対応は悪くなかったのですが、、これが新築だったらブチギレてました。
数年後に家を建て、別の引っ越し業者に頼みましたが、そこと比べたらまだマシだったように思います。"
2023.09.28,"大手他社とアートと2社見積もりをしてもらったら、アートは他社と比べて半額近い値段。荷物も結構多かったのだがサービスしてくれるとのこと。正直値段はかなり良心的でありがたかった。
今回アートに頼むのは2回目で、1回目の引越しでは養生もしっかりしてくれ、荷物の扱いも丁寧だった。が、今回はかなり雑。家具を壊すこと1回（修復できた）、床に落とすこと2回。養生もしっかりしてなかったのでフローリングに傷がついてた。こちらが見てないと思ったのか知らんふりして、対応も最悪だなと思った。
他社の見積もり時に「アートさんは人によって荷物の扱いが違う」と言っていたのだがその通りだと思った。その会社は「ウチは社員が対応し、丁寧さはしっかり教育しています」と。
値段は安いが荷物の扱いはその時のガチャによるアートにするか、値段は高いが丁寧な仕事をする会社を選ぶか…"
2020.03.15,"市内の引っ越し、見積もりをたてましたが、見積もりの段階では男性の店長さん？がとてもしっかりしていて、信頼おけると思ったからです。
が、当日こられたのは、タバコの匂いプンプン、チャラっとしたギャルっぽい女性リーダーさんをはじめ、女の子が4人と男性一人。
ささっと、家具を覆って、運ぶ姿はカッコよかったです。
が、休憩の後にあったときはやはりタバコの匂いがすごくて、引っ越し作業でお客さんと接するサービス業だから、なるべく吸わない方がいいと思う。
お仕事終わって会社で吸うにはいいと思いますが…。
あと、今回引っ越し費用だけで10万しましたが、見積もりは他よりは安かったです。"
2022.12.20,"夢のマイホームを建て、元々住んでいた賃貸から新築への引っ越しをアートに依頼しました。
最初に、営業マンは、養生を完璧にし、家具も全て綺麗に拭いて、しっかりとした研修受けた者が作業すると言い、値段もそこまで高くなかった。
それを信頼してアートに決めました。
しかし蓋を開けてみると、元々住んでいた賃貸にガムテープのゴミは置いていく。捨てると言った粗大ゴミはマンションの廊下に置きっぱなし。バイトの1人は何もせずに立っているが、家具の掃除もしないで、6時間以上かかった。"
2023.06.30,今後、2度と利用しません。洗濯機の設置が別料金で6000円程度かかります。別業者に頼んでいてエアコン設置も兼任しています。私は洗濯機だけでしたが、洗濯機＋エアコン2台などになると時間が掛かりスケジュール管理がうまく設定できないとのことです。引っ越しが終わったら県をまたいで現地にいくという非効率なやり方していて、サカイの仕事も請け負っていると聞きました。私は引っ越しを数回しているので、冷蔵庫のコンセントは前日の夜に抜き、設置後は1時間くらいしてから入れるものと思っていましたが。運び入れた直後にコンセントを入れていました。冷蔵庫の中の棚板は斜めに傾き、レンジのアース線は繫がれることなくそのまま。洗濯機の排水ホースから水が漏れて防水パンの中に水たまりができていました。冷蔵庫の下に敷くマット3800円＆洗濯機の足＆段ボール回収3000円の営業3段階は不快でした。物件を決める際に不動産会社の窓口で見た広告には段ボールは無料回収と書かれていましたが、他の窓口から申し込んだ私は何も知らないと思ったようです。市のごみセンターに持ち込めば１キロ100円ですから相当なぼったくりです。室内を養生する＆靴下を履き替えるなどの配慮はありましたが、上辺の印象だけ良くしている感じですね。
2022.10.17,"大手さんなので丁寧な作業してくれると期待していたのにとても残念。
作業はテキパキこなしてくれたが、新築の家の玄関框に傷をつけられた。
私が指摘したら上の方に連絡していたが、明らかに気付くだろうという傷もあったのに確認もせずに帰ろうとしてた。
無料で修理してもらって目立たなくはなったが修理した跡は残っていて悲しい。
養生も雑。「ベリベリベリッ！」と勢いよく養生テープはがすので壁紙が剥がれるのではないかと心配になった。
新築だから本当に丁寧に作業してほしかったので、作業前に心付け多めに渡してるのに意味なかった。
それと、ダンボール無料引き渡しを予約した際は「作業が終わってからなので夕方以降になります」と伝えられてたのに、引き渡し当日朝8:30に電話がかかってきて「13:00-15:00の間に伺います」と言われた。家を傷つけられてからアートさんに対しての怒りが収まらないのに、より腹が立った。"
2023.05.04,"引越し屋さんは、嫁さんが独身時代からアートさんを信頼していて、我が家の過去3回の引越しは全てアートさんでした。
このタンスの損傷がわかったのは3回目の引越し時でしたが、タンスを出そうとした作業員さんが、「ここに損傷があるので、確認してください。」と言ってきました。写真は、私が木工ボンドを使って修復した後ですが、損傷が見つかった時は、養生テープでべったり貼り付けられた状態でした。
2回目の引越しの際に損傷し、それを壁面につけるように配置して誤魔化していたようです。見つけた作業員さんも、そういう推理をしたようですが、「前の引越しもアートさんですよ。」と言うと、無言になりました。
2回目の引越しの際、荷入れをする時に作業長がやたら愛想よく、家具の配置もアドバイスしてきたのは、こう言うことだったのかと理解しました。
まあ、その作業長が引越し先の不具合（建築会社の施行ミス）も見つけてアドバイスしてくれたこともあったので、まあチャラにしますが。"
2022.10.30,相見積もりにて非常にお安くしてくださったので安心してお願いしました。当日は男女一名ずつで来ましたが、女性がとても感じ悪い…。男性は物腰の柔らかい感じで良かったです。運ぶだけじゃないと謳って家具を拭いてくれるサービスがありますが、「お客様、雑巾借りても良いですか？」と聞かれた時はビックリしました。おいおい、そちらの提供しているサービスじゃないのかよ…。おまけに急に話しかけてくるなぁと思ったら、ベッドの脱臭シートの押し売り。そのくらいこちらで用意してますけど。全体的な作業もとても遅かった様に思います。噂通りの段ボール回収サービスも、お願いの電話を入れたのに回収に来ることはありませんでした。今まで色んな業者様にお願いしてきましたが、もうお願いしないと思いますがこれじゃサ◯イには負けますね。
2023.05.29,"数社見積もりを取った中で一番安く、しかも昔からある大手の会社さんなので信頼して頼みましが、残念ながらかなり厳しい評価をせざるを得ない結果でした。
まず、玄関、室内の壁、エレベーター等に養生をせず荷物を搬出し始めました。私がパンフレットの作業内容と違うことを指摘して、やっと養生を始めました。そして搬入の際も養生をせずに作業を始めようとしたと、引越先の管理人さんから聞きました。この時は管理人さんが注意してくださったようです。
作業内容は一言でいうと「雑」でした。本棚やテレビ台の棚ダボは、サイズの異なるものをひとまとめにされてしまった挙句、大量に紛失されてしまいました。加えて電気スタンド、室内物干し台など、複数の荷物が破損されてしまいました。
他方、営業の方や、物品の破損対応に当たられたスタッフの方は親切でしたが、やはり事故があってからでは遅いです。期待していた会社さんだけに、返す返す残念な思いです。"
2023.10.04,"以前同じ市内の引越し（車で25分くらいの距離・家族3人分）を頼みました。
社員2人・アルバイト2人の合計4人で来ました。午後1時から搬出でしたが、アルバイトの2人がほとんど動かずに「このタンス、めんどくさいよな・・・」「これ、重たくない？」など、こちらにも聞こえる声で話してました。4人でやれば普通は2時間もあれば搬出が終わるところ、3時間たっても半分くらいしか進んでいない状態で、社員の方が応援を呼びました。あとから別の社員が2人来て午後6時くらいにようやく搬出が終わりました。そこから引越し先へ行って全部搬入が終わったのが午後8時半くらいでした。動かないアルバイト2人のためにとても時間がかかった引越しでした。"
2019.05.05,みん評でおすすめの一括見積もりから比較しました。最安ではなかったのですが、営業の方がしっかりしていて価格交渉よりも実際の引越し内容について細かく打ち合わせできたのが安心感につながり、アート引越しセンターさんに決めました。
2023.01.17,"最初の見積もりから支払い金額が飛び出すことはありませんでした。作業も比較的、丁寧でした。
ただ、契約後の営業態度が冷たかったことと、インターフォンの破損の事実確認や手続きが面倒だったので、この評価です。"
2018.02.11,"１、見積もり後、週末午前中にダンボールを届けると言って頂いたのに、待てど暮らせどスタッフが現れず、連絡すらないドタキャンです
→土曜日が丸一日無駄になってしまいました
２、その後、当方から電話で連絡し、ダンボールを再依頼しました。ところが、持ってきて頂いたスタッフからは、『自分は担当ではないので、前回のミスの件はよく分かりません』の一言
→それって、顧客には関係のない、会社側の都合ですよね
３、上記のミスがあったのですが、期待をこめて依頼したにも関わらず、当日はお気に入りの置物を破損。６体で１セットの置物で、生産停止にも関わらず、壊れた３体のみを購入原価で保証するのが当たりまえであるかのような電話対応
→３体のみで飾れと言われても
４、一連のミスがあり、電話で対応をお願いしたにも関わらず、その件が、電話で話したスタッフから会社側に伝わっておらず、改めてミスが発生
→疲れてしまいました"
2023.09.08,"営業に来た方や実際に作業してくれた方々は本当に親切でした。
作業もテキパキとしていて挨拶や対応も元気で好感が持てました。
ただ、アートさん関連で来た方々や内勤でお電話でしか関わらなかった方は金銭的に遅れても時間に遅れても一切謝罪はありませんでした。
改めて言いますが、作業関係は本当に丁寧で料金も営業の方が頑張ってくれて好印象でした。"
2023.08.17,府内の引越しで利用しました。梱包荷解きをつけました。朝からテキパキ梱包してくださり、荷解きは翌日に来てくれました。家電の搬入が難しくなった際には、クレーンで引き上げをし、家電が傷つかないように慎重に搬入してくださりました。とても良かったです。一点、箱に入れてあった大切な鞄が2点、玄関の靴の箱と一緒にされ、下駄箱に置かれていたのは残念でした。
2023.10.01,作業自体も値段も不満はなかったが、冷蔵庫を敷く時に冷蔵庫にマットを敷くか聞かれて1800円と言われたのでOKした。その時は自分ともう1人家族が一緒にいた。後から支払いの時に自分だけだったのだが、3800円と言われ、驚いたが自分が聞き間違いで了承してしまったと思い(商品自体も冷蔵庫に敷いてしまっていたので)払いました。後から一緒にいた家族に聞くと、やはり1800円と聞いたとの事。お金を取りに来た人と値段を言った人は違っていたので、ホームページで値段確認したら確かに3800円だったので最初の人が間違っていたのかも知らないが、その値段なら要らなかった。作業自体はしっかりやってくれて好印象だっので最後に嫌な気分になった。オプションで何かを付ける場合は料金確認をしっかりした方が良いと勉強になった。
2018.03.24,"アート引越センターが、隣の家の引越しにきましたが
（マンションです）廊下もエレベーターも養生もなにもせずに、
でかい台車を、バーン！！！
と落して広げたり、
（他の家まで、ものすごい音だったそうです）
うちのドアにまで、ガン！と台車あてたり、"
2023.05.03,営業の方、時間通り見積りに来る。言葉遣い、説明問題なしとその時は感じたが思い返せばこの方が今回の嫌な思いをした根本の原因である。
